Office No Clean,Office No.,Company Name,Company Number,Has Valid Company Number,Incorporated,Status,SIC Code,Registered Address,Address Suffix,Address Exact Street Match,Office Group Size,Cash At Bank,Net Assets,Turnover,Source,Companies House Overview URL,Companies House Officers URL,Companies House Filing History URL,Primary OSINT Source,Investigative Priority,Risk Tier (Objective),Public Linkage Category,Priority Entity,Manual Review Hypothesis (Unverified),Public Evidence Summary,Public Evidence URLs,Review Notes
23,23.0,99dollars Ltd,15349032,Yes,2023-12-13,Active,,"Office 23, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15349032,https://find-and-update.company-information.service.gov.uk/company/15349032/officers,https://find-and-update.company-information.service.gov.uk/company/15349032/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
24,24.0,Golyo Ltd,15358014,Yes,2023-12-18,Active,,"Office 24, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15358014,https://find-and-update.company-information.service.gov.uk/company/15358014/officers,https://find-and-update.company-information.service.gov.uk/company/15358014/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
25,25.0,Outreach Dudes Ltd,15357887,Yes,2023-12-18,Active,,"Office 25, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15357887,https://find-and-update.company-information.service.gov.uk/company/15357887/officers,https://find-and-update.company-information.service.gov.uk/company/15357887/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
26,26.0,Rankfeedseo Ltd,15363765,Yes,2023-12-20,Active,,"Office 26, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,"-£8,670",,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15363765,https://find-and-update.company-information.service.gov.uk/company/15363765/officers,https://find-and-update.company-information.service.gov.uk/company/15363765/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
27,27.0,Mr. Kilts & Co. Ltd,15363797,Yes,2023-12-20,Active,,"Office 27, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15363797,https://find-and-update.company-information.service.gov.uk/company/15363797/officers,https://find-and-update.company-information.service.gov.uk/company/15363797/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
28,28.0,Quirk Media Ltd,15374419,Yes,2023-12-29,Active,,"Office 28, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15374419,https://find-and-update.company-information.service.gov.uk/company/15374419/officers,https://find-and-update.company-information.service.gov.uk/company/15374419/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
29,29.0,Seoanalyzeronline Ltd,15372452,Yes,2023-12-28,Active,,"Office 29, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15372452,https://find-and-update.company-information.service.gov.uk/company/15372452/officers,https://find-and-update.company-information.service.gov.uk/company/15372452/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
30,30.0,Abi Flame Ltd,15374433,Yes,2023-12-29,Active,,"Office 30, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15374433,https://find-and-update.company-information.service.gov.uk/company/15374433/officers,https://find-and-update.company-information.service.gov.uk/company/15374433/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
31,31.0,Flyfest Travel Ltd,15374535,Yes,2023-12-29,Active,,"Office 31, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15374535,https://find-and-update.company-information.service.gov.uk/company/15374535/officers,https://find-and-update.company-information.service.gov.uk/company/15374535/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
32,32.0,Orbalix Solutions Ltd,15378887,Yes,2023-12-31,Active,,"Office 32, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15378887,https://find-and-update.company-information.service.gov.uk/company/15378887/officers,https://find-and-update.company-information.service.gov.uk/company/15378887/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
33,33.0,Digital Revenue Academy Ltd,15382166,Yes,2024-01-02,Active,,"Office 33, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15382166,https://find-and-update.company-information.service.gov.uk/company/15382166/officers,https://find-and-update.company-information.service.gov.uk/company/15382166/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
34,34.0,Designso Private Limited,15388766,Yes,2024-01-05,Active,47910,"Office 34, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15388766,https://find-and-update.company-information.service.gov.uk/company/15388766/officers,https://find-and-update.company-information.service.gov.uk/company/15388766/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
35,35.0,Pure Cart Ltd,15388817,Yes,2024-01-05,Active,,"Office 35, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15388817,https://find-and-update.company-information.service.gov.uk/company/15388817/officers,https://find-and-update.company-information.service.gov.uk/company/15388817/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
38,38.0,Packaging Mart Ltd,14796362,Yes,2023-04-12,Active,,"Office 38, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,£153,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/14796362,https://find-and-update.company-information.service.gov.uk/company/14796362/officers,https://find-and-update.company-information.service.gov.uk/company/14796362/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
39,39.0,4x Writers Ltd,14750888,Yes,2023-03-23,Active,,"Office 39, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,"-£4,720",,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/14750888,https://find-and-update.company-information.service.gov.uk/company/14750888/officers,https://find-and-update.company-information.service.gov.uk/company/14750888/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
40,40.0,Authority Backlinks Agency Ltd,14832315,Yes,2023-04-27,Active,,"Office 40, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,"-£4,200",,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/14832315,https://find-and-update.company-information.service.gov.uk/company/14832315/officers,https://find-and-update.company-information.service.gov.uk/company/14832315/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
41,41.0,Creativeitsol Ltd,14837913,Yes,2023-05-01,Active,,"Office 41, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,£1,£1,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/14837913,https://find-and-update.company-information.service.gov.uk/company/14837913/officers,https://find-and-update.company-information.service.gov.uk/company/14837913/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
42,42.0,Ahmad Inc Limited,14814150,Yes,2023-04-19,Active,,"Office 42, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,"-£4,200",,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/14814150,https://find-and-update.company-information.service.gov.uk/company/14814150/officers,https://find-and-update.company-information.service.gov.uk/company/14814150/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
45,45.0,Macro Minds Ltd,14845620,Yes,2023-05-04,Active,,"Office 45, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,£1,£1,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/14845620,https://find-and-update.company-information.service.gov.uk/company/14845620/officers,https://find-and-update.company-information.service.gov.uk/company/14845620/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
54,54.0,3d Styles Ltd,14882204,Yes,2023-05-19,Active,,"Office 54, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,£1,£1,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/14882204,https://find-and-update.company-information.service.gov.uk/company/14882204/officers,https://find-and-update.company-information.service.gov.uk/company/14882204/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
55,55.0,Expertcode Ltd,14880621,Yes,2023-05-19,Active,,"Office 55, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/14880621,https://find-and-update.company-information.service.gov.uk/company/14880621/officers,https://find-and-update.company-information.service.gov.uk/company/14880621/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
59,59.0,Ubh Services Ltd,14551771,Yes,2022-12-20,Active,,"Office 59, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,"-£5,070",,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/14551771,https://find-and-update.company-information.service.gov.uk/company/14551771/officers,https://find-and-update.company-information.service.gov.uk/company/14551771/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
61,61.0,Raah Sign Ltd,15394769,Yes,2024-01-08,Active,,"Office 61, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15394769,https://find-and-update.company-information.service.gov.uk/company/15394769/officers,https://find-and-update.company-information.service.gov.uk/company/15394769/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
62,62.0,Third Gen Web Ltd,15394725,Yes,2024-01-08,Active,,"Office 62, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15394725,https://find-and-update.company-information.service.gov.uk/company/15394725/officers,https://find-and-update.company-information.service.gov.uk/company/15394725/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
63,63.0,Portable-Arc Ltd,15406497,Yes,2024-01-11,Active,,"Office 63, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15406497,https://find-and-update.company-information.service.gov.uk/company/15406497/officers,https://find-and-update.company-information.service.gov.uk/company/15406497/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
64,64.0,Pulsar Hub Ltd,15416921,Yes,2024-01-16,Active,,"Office 64, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15416921,https://find-and-update.company-information.service.gov.uk/company/15416921/officers,https://find-and-update.company-information.service.gov.uk/company/15416921/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
65,65.0,Nixtron Ltd,15421221,Yes,2024-01-17,Active,,"Office 65, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15421221,https://find-and-update.company-information.service.gov.uk/company/15421221/officers,https://find-and-update.company-information.service.gov.uk/company/15421221/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
66,66.0,Leathercrunch Ltd,15420812,Yes,2024-01-17,Active,,"Office 66, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15420812,https://find-and-update.company-information.service.gov.uk/company/15420812/officers,https://find-and-update.company-information.service.gov.uk/company/15420812/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
67,67.0,Abhub Limited,15421131,Yes,2024-01-17,Active,,"Office 67, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,£2,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15421131,https://find-and-update.company-information.service.gov.uk/company/15421131/officers,https://find-and-update.company-information.service.gov.uk/company/15421131/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
69,69.0,At Digitizing Ltd,15434807,Yes,2024-01-23,Active,,"Office 69, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,-£300,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15434807,https://find-and-update.company-information.service.gov.uk/company/15434807/officers,https://find-and-update.company-information.service.gov.uk/company/15434807/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
71,71.0,Bhawani Corporation Limited,15443979,Yes,2024-01-26,Active,,"Office 71, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15443979,https://find-and-update.company-information.service.gov.uk/company/15443979/officers,https://find-and-update.company-information.service.gov.uk/company/15443979/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
72,72.0,Marko Woolen Leather Ltd,15459524,Yes,2024-02-01,Active,,"Office 72, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15459524,https://find-and-update.company-information.service.gov.uk/company/15459524/officers,https://find-and-update.company-information.service.gov.uk/company/15459524/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
74,74.0,Design Avenue Ltd,14619340,Yes,2023-01-26,Active,,"Office 74, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/14619340,https://find-and-update.company-information.service.gov.uk/company/14619340/officers,https://find-and-update.company-information.service.gov.uk/company/14619340/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
76,76.0,Alphacrypt Security Ltd,15465586,Yes,2024-02-04,Active,,"Office 76, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,1,,£100,,open.endole.co.uk,https://find-and-update.company-information.service.gov.uk/company/15465586,https://find-and-update.company-information.service.gov.uk/company/15465586/officers,https://find-and-update.company-information.service.gov.uk/company/15465586/filing-history,Companies House URL ready + open.endole.co.uk,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields
