#,Office No.,Company Name,Company Number,Has Valid Company Number,Incorporated,Status,SIC Code,Registered Address,Address Suffix,Address Exact Street Match,Cash At Bank,Net Assets,Turnover,Investigative Priority,Risk Tier (Objective),Priority Entity,Public Linkage Category,Manual Review Hypothesis (Unverified),Public Evidence Summary,Public Evidence URLs,Review Notes,Companies House Overview URL,Companies House Officers URL,Companies House Filing History URL,Primary OSINT Source,Source,Notes,Office Group Size,2026-04-01 Web Update,2026-04-01 Web Update URLs,Project Dunstall Mirror Mention,Project Dunstall Mirror Notes,Project Dunstall Mirror URL,2026-04-01 Ezone/HopeTex Update,2026-04-01 Ezone/HopeTex Update URLs
17,15,Vivavalue Ltd,15332937,Yes,2023-12-06,Active,,"Office 15, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities,https://find-and-update.company-information.service.gov.uk/company/15332937,https://find-and-update.company-information.service.gov.uk/company/15332937/officers,https://find-and-update.company-information.service.gov.uk/company/15332937/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
18,16,Rank Digital Pro Ltd,15343068,Yes,2023-12-11,Active,,"Office 16, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15343068,https://find-and-update.company-information.service.gov.uk/company/15343068/officers,https://find-and-update.company-information.service.gov.uk/company/15343068/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
19,17,Trendvista Ltd,15342639,Yes,2023-12-11,Active,,"Office 17, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15342639,https://find-and-update.company-information.service.gov.uk/company/15342639/officers,https://find-and-update.company-information.service.gov.uk/company/15342639/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
20,18,Luxecraft Ltd,15342731,Yes,2023-12-11,Active,,"Office 18, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15342731,https://find-and-update.company-information.service.gov.uk/company/15342731/officers,https://find-and-update.company-information.service.gov.uk/company/15342731/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
21,19,Packify Limited,15341728,Yes,2023-12-11,Active,,"Office 19, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15341728,https://find-and-update.company-information.service.gov.uk/company/15341728/officers,https://find-and-update.company-information.service.gov.uk/company/15341728/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
22,21,Lucky Rank Ltd,15345507,Yes,2023-12-12,Active,,"Office 21, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities,https://find-and-update.company-information.service.gov.uk/company/15345507,https://find-and-update.company-information.service.gov.uk/company/15345507/officers,https://find-and-update.company-information.service.gov.uk/company/15345507/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
23,21,Shops Sync Ltd,15094671,Yes,2023-08-24,Active,,"Office 21, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities,https://find-and-update.company-information.service.gov.uk/company/15094671,https://find-and-update.company-information.service.gov.uk/company/15094671/officers,https://find-and-update.company-information.service.gov.uk/company/15094671/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
24,22,Pixrox Ltd,15339585,Yes,2023-12-09,Active,,"Office 22, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15339585,https://find-and-update.company-information.service.gov.uk/company/15339585/officers,https://find-and-update.company-information.service.gov.uk/company/15339585/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
25,23,99dollars Ltd,15349032,Yes,2023-12-13,Active,,"Office 23, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15349032,https://find-and-update.company-information.service.gov.uk/company/15349032/officers,https://find-and-update.company-information.service.gov.uk/company/15349032/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
26,24,Golyo Ltd,15358014,Yes,2023-12-18,Active,,"Office 24, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15358014,https://find-and-update.company-information.service.gov.uk/company/15358014/officers,https://find-and-update.company-information.service.gov.uk/company/15358014/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
27,25,Outreach Dudes Ltd,15357887,Yes,2023-12-18,Active,,"Office 25, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15357887,https://find-and-update.company-information.service.gov.uk/company/15357887/officers,https://find-and-update.company-information.service.gov.uk/company/15357887/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
28,26,Rankfeedseo Ltd,15363765,Yes,2023-12-20,Active,,"Office 26, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£8,670",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15363765,https://find-and-update.company-information.service.gov.uk/company/15363765/officers,https://find-and-update.company-information.service.gov.uk/company/15363765/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk/secret-bases,,,,,,,,,
29,27,Mr. Kilts & Co. Ltd,15363797,Yes,2023-12-20,Active,,"Office 27, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15363797,https://find-and-update.company-information.service.gov.uk/company/15363797/officers,https://find-and-update.company-information.service.gov.uk/company/15363797/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
30,28,Quirk Media Ltd,15374419,Yes,2023-12-29,Active,,"Office 28, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15374419,https://find-and-update.company-information.service.gov.uk/company/15374419/officers,https://find-and-update.company-information.service.gov.uk/company/15374419/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
31,29,Seoanalyzeronline Ltd,15372452,Yes,2023-12-28,Active,,"Office 29, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15372452,https://find-and-update.company-information.service.gov.uk/company/15372452/officers,https://find-and-update.company-information.service.gov.uk/company/15372452/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
32,30,Abi Flame Ltd,15374433,Yes,2023-12-29,Active,,"Office 30, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15374433,https://find-and-update.company-information.service.gov.uk/company/15374433/officers,https://find-and-update.company-information.service.gov.uk/company/15374433/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
33,31,Flyfest Travel Ltd,15374535,Yes,2023-12-29,Active,,"Office 31, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15374535,https://find-and-update.company-information.service.gov.uk/company/15374535/officers,https://find-and-update.company-information.service.gov.uk/company/15374535/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
34,32,Orbalix Solutions Ltd,15378887,Yes,2023-12-31,Active,,"Office 32, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15378887,https://find-and-update.company-information.service.gov.uk/company/15378887/officers,https://find-and-update.company-information.service.gov.uk/company/15378887/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
35,33,Digital Revenue Academy Ltd,15382166,Yes,2024-01-02,Active,,"Office 33, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15382166,https://find-and-update.company-information.service.gov.uk/company/15382166/officers,https://find-and-update.company-information.service.gov.uk/company/15382166/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
36,34,Designso Private Limited,15388766,Yes,2024-01-05,Active,47910,"Office 34, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15388766,https://find-and-update.company-information.service.gov.uk/company/15388766/officers,https://find-and-update.company-information.service.gov.uk/company/15388766/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
37,35,Pure Cart Ltd,15388817,Yes,2024-01-05,Active,,"Office 35, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15388817,https://find-and-update.company-information.service.gov.uk/company/15388817/officers,https://find-and-update.company-information.service.gov.uk/company/15388817/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
38,38,Packaging Mart Ltd,14796362,Yes,2023-04-12,Active,,"Office 38, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,£153,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14796362,https://find-and-update.company-information.service.gov.uk/company/14796362/officers,https://find-and-update.company-information.service.gov.uk/company/14796362/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
39,39,4x Writers Ltd,14750888,Yes,2023-03-23,Active,,"Office 39, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£4,720",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14750888,https://find-and-update.company-information.service.gov.uk/company/14750888/officers,https://find-and-update.company-information.service.gov.uk/company/14750888/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
40,40,Authority Backlinks Agency Ltd,14832315,Yes,2023-04-27,Active,,"Office 40, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£4,200",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14832315,https://find-and-update.company-information.service.gov.uk/company/14832315/officers,https://find-and-update.company-information.service.gov.uk/company/14832315/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
41,41,Creativeitsol Ltd,14837913,Yes,2023-05-01,Active,,"Office 41, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,£1,£1,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14837913,https://find-and-update.company-information.service.gov.uk/company/14837913/officers,https://find-and-update.company-information.service.gov.uk/company/14837913/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
42,42,Ahmad Inc Limited,14814150,Yes,2023-04-19,Active,,"Office 42, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£4,200",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14814150,https://find-and-update.company-information.service.gov.uk/company/14814150/officers,https://find-and-update.company-information.service.gov.uk/company/14814150/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
43,45,Macro Minds Ltd,14845620,Yes,2023-05-04,Active,,"Office 45, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,£1,£1,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14845620,https://find-and-update.company-information.service.gov.uk/company/14845620/officers,https://find-and-update.company-information.service.gov.uk/company/14845620/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
44,54,3d Styles Ltd,14882204,Yes,2023-05-19,Active,,"Office 54, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,£1,£1,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14882204,https://find-and-update.company-information.service.gov.uk/company/14882204/officers,https://find-and-update.company-information.service.gov.uk/company/14882204/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
45,55,Expertcode Ltd,14880621,Yes,2023-05-19,Active,,"Office 55, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14880621,https://find-and-update.company-information.service.gov.uk/company/14880621/officers,https://find-and-update.company-information.service.gov.uk/company/14880621/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
46,59,Ubh Services Ltd,14551771,Yes,2022-12-20,Active,,"Office 59, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£5,070",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14551771,https://find-and-update.company-information.service.gov.uk/company/14551771/officers,https://find-and-update.company-information.service.gov.uk/company/14551771/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
47,61,Raah Sign Ltd,15394769,Yes,2024-01-08,Active,,"Office 61, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15394769,https://find-and-update.company-information.service.gov.uk/company/15394769/officers,https://find-and-update.company-information.service.gov.uk/company/15394769/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk/secret-bases,,,,,,,,,
48,62,Third Gen Web Ltd,15394725,Yes,2024-01-08,Active,,"Office 62, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15394725,https://find-and-update.company-information.service.gov.uk/company/15394725/officers,https://find-and-update.company-information.service.gov.uk/company/15394725/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk/secret-bases,,,,,,,,,
49,63,Portable-Arc Ltd,15406497,Yes,2024-01-11,Active,,"Office 63, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15406497,https://find-and-update.company-information.service.gov.uk/company/15406497/officers,https://find-and-update.company-information.service.gov.uk/company/15406497/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
50,64,Pulsar Hub Ltd,15416921,Yes,2024-01-16,Active,,"Office 64, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15416921,https://find-and-update.company-information.service.gov.uk/company/15416921/officers,https://find-and-update.company-information.service.gov.uk/company/15416921/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
51,65,Nixtron Ltd,15421221,Yes,2024-01-17,Active,,"Office 65, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15421221,https://find-and-update.company-information.service.gov.uk/company/15421221/officers,https://find-and-update.company-information.service.gov.uk/company/15421221/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
52,66,Leathercrunch Ltd,15420812,Yes,2024-01-17,Active,,"Office 66, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15420812,https://find-and-update.company-information.service.gov.uk/company/15420812/officers,https://find-and-update.company-information.service.gov.uk/company/15420812/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
53,67,Abhub Limited,15421131,Yes,2024-01-17,Active,,"Office 67, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,£2,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15421131,https://find-and-update.company-information.service.gov.uk/company/15421131/officers,https://find-and-update.company-information.service.gov.uk/company/15421131/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
54,69,At Digitizing Ltd,15434807,Yes,2024-01-23,Active,,"Office 69, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,-£300,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15434807,https://find-and-update.company-information.service.gov.uk/company/15434807/officers,https://find-and-update.company-information.service.gov.uk/company/15434807/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
55,71,Bhawani Corporation Limited,15443979,Yes,2024-01-26,Active,,"Office 71, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15443979,https://find-and-update.company-information.service.gov.uk/company/15443979/officers,https://find-and-update.company-information.service.gov.uk/company/15443979/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
56,72,Marko Woolen Leather Ltd,15459524,Yes,2024-02-01,Active,,"Office 72, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15459524,https://find-and-update.company-information.service.gov.uk/company/15459524/officers,https://find-and-update.company-information.service.gov.uk/company/15459524/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
57,74,Design Avenue Ltd,14619340,Yes,2023-01-26,Active,,"Office 74, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/14619340,https://find-and-update.company-information.service.gov.uk/company/14619340/officers,https://find-and-update.company-information.service.gov.uk/company/14619340/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,,,,,,,
